code,name,monthly_trend,weekly_score,ml_score,prophet_forecast_return,prophet_trend,prophet_confidence,current_price,ma40_weekly,volume_ratio,date,key_features
300751,迈为股份,BASE_BUILDING,140,100,133.96,strong_up,0.0,161.02,0,1.333724876052309,2025-12-22,"波动收敛, 量能配合"
603121,华培动力,BASE_BUILDING,135,100,2.45,weak_up,0.22,22.35,0,3.3781780369346475,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300034,钢研高纳,BASE_BUILDING,125,100,53.21,strong_up,0.0,18.52,0,2.3250635361420358,2025-12-22,"波动收敛, 量能配合"
600456,宝钛股份,BASE_BUILDING,120,100,4.73,weak_up,0.11,36.21,0,1.3200652850344528,2025-12-19,量能配合
301043,绿岛风,UPTREND,145,100,-39.08,strong_down,0.64,52.8,0,1.8524010612277344,2025-12-22,"趋势强劲, 波动收敛"
300620,光库科技,UPTREND,145,100,-65.43,strong_down,0.67,158.36,0,1.3756347116361505,2025-12-22,"趋势强劲, 波动收敛, 量能配合, 突破信号"
600855,航天长峰,UPTREND,145,100,-41.8,strong_down,0.4,18.66,0,1.591940436281956,2025-12-22,"趋势强劲, 量能配合"
603216,梦天家居,UPTREND,145,100,-48.6,strong_down,0.79,35.0,0,8.89627151400074,2025-12-22,"趋势强劲, 量能配合, 突破信号"
688205,德科立,UPTREND,145,100,-57.74,strong_down,0.54,154.11,0,1.923549656304072,2025-12-22,"趋势强劲, 波动收敛"
301292,海科新源,UPTREND,145,100,-71.51,strong_down,0.87,56.2,0,1.5021331249039311,2025-12-22,"趋势强劲, 量能配合, 突破信号"
688539,高华科技,UPTREND,145,100,-30.29,strong_down,0.48,44.29,0,2.164559682399035,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300123,亚光科技,UPTREND,145,100,-51.79,strong_down,0.0,7.53,0,1.5633386641273015,2025-12-22,量能配合
300346,南大光电,UPTREND,145,100,-8.68,down,0.05,45.7,0,1.9651192324544908,2025-12-22,"波动收敛, 量能配合"
600868,梅雁吉祥,UPTREND,150,100,-42.04,strong_down,0.52,3.65,0,1.5739666733143514,2025-12-22,"趋势强劲, 量能配合"
603008,喜临门,BASE_BUILDING,120,100,8.17,up,0.0,22.55,0,1.329334615324306,2025-12-22,量能配合
603829,洛凯股份,UPTREND,125,100,-36.73,strong_down,0.69,27.41,0,1.4876459983113148,2025-12-22,"趋势强劲, 波动收敛, 量能配合, 突破信号"
601100,恒立液压,UPTREND,125,100,-23.17,strong_down,0.46,107.41,0,1.4046051368808146,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
688387,信科移动,UPTREND,125,100,-26.99,strong_down,0.54,9.81,0,1.7755257072094066,2025-12-22,波动收敛
601061,中信金属,UPTREND,125,100,-38.58,strong_down,0.88,14.1,0,1.6695543261053538,2025-12-22,"趋势强劲, 量能配合, 突破信号"
601869,长飞光纤,UPTREND,130,100,-62.02,strong_down,0.46,127.05,0,2.271163200001894,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300139,晓程科技,UPTREND,130,100,-30.43,strong_down,0.68,31.12,0,1.452404200783537,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300570,太辰光,UPTREND,130,100,-16.52,strong_down,0.61,119.44,0,2.1618303156053766,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
603992,松霖科技,UPTREND,130,100,-13.98,strong_down,0.7,38.21,0,3.408707688174061,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
600879,航天电子,UPTREND,130,100,-28.17,strong_down,0.46,17.41,0,4.857778348176189,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300710,万隆光电,UPTREND,125,100,-23.78,strong_down,0.0,32.67,0,1.663474345500354,2025-12-22,"量能配合, 突破信号"
600706,曲江文旅,UPTREND,125,100,7.25,up,0.06,11.86,0,1.6302226780752815,2025-12-22,符合基本条件
300548,长芯博创,UPTREND,145,100,-79.15,strong_down,0.39,156.97,0,1.5901315673517251,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
301183,东田微,UPTREND,145,100,-57.3,strong_down,0.64,166.8,0,1.5247472654497407,2025-12-22,"趋势强劲, 波动收敛"
300937,药易购,UPTREND,140,100,-5.67,down,0.4,33.87,0,1.7309731177579413,2025-12-22,"趋势强劲, 量能配合"
301529,福赛科技,UPTREND,140,100,-15.58,strong_down,0.57,86.7,0,1.8316426062340316,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
688167,炬光科技,UPTREND,140,100,-68.98,strong_down,0.35,179.0,0,1.9948706346252607,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300516,久之洋,UPTREND,140,100,-34.94,strong_down,0.58,77.17,0,1.84937690630378,2025-12-22,"趋势强劲, 量能配合, 突破信号"
688662,富信科技,UPTREND,140,100,-35.71,strong_down,0.46,48.16,0,2.144207065018152,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
600345,长江通信,UPTREND,135,100,-22.53,strong_down,0.49,29.69,0,3.95426419686786,2025-12-19,"趋势强劲, 波动收敛, 量能配合"
300342,天银机电,UPTREND,135,100,-26.95,strong_down,0.39,29.28,0,2.743346946732367,2025-12-22,量能配合
301042,安联锐视,UPTREND,135,100,-34.7,strong_down,0.78,83.8,0,1.745317594654534,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300438,鹏辉能源,UPTREND,135,100,-33.0,strong_down,0.0,50.76,0,1.4957806263411673,2025-12-22,"趋势强劲, 波动收敛, 量能配合, 突破信号"
688307,中润光学,UPTREND,135,100,-52.34,strong_down,0.52,44.8,0,1.4948488365740105,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300503,昊志机电,UPTREND,135,100,-61.29,strong_down,0.0,35.66,0,1.921095283525078,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
301279,金道科技,UPTREND,135,100,-42.1,strong_down,0.69,28.63,0,1.7535937069585772,2025-12-22,"趋势强劲, 量能配合, 突破信号"
688249,晶合集成,UPTREND,135,100,-34.91,strong_down,0.64,36.09,0,1.5189019239314443,2025-12-22,"趋势强劲, 波动收敛"
300192,科德教育,UPTREND,135,100,-57.56,strong_down,0.38,20.57,0,1.4114589292217192,2025-12-22,"趋势强劲, 量能配合"
603601,再升科技,UPTREND,140,100,-55.93,strong_down,0.0,10.9,0,3.9041791805878394,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
603163,圣晖集成,UPTREND,140,100,-56.9,strong_down,0.58,64.55,0,1.5001264866868749,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
301133,金钟股份,UPTREND,140,100,-33.08,strong_down,0.53,31.69,0,1.9773153902475056,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
300447,全信股份,UPTREND,140,100,-4.18,weak_down,0.0,17.26,0,2.904491869692828,2025-12-22,符合基本条件
301387,光大同创,UPTREND,140,100,-23.59,strong_down,0.53,44.19,0,2.38457986324554,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
301306,西测测试,UPTREND,135,100,-1.05,flat,0.82,110.65,0,2.280271575035639,2025-12-22,"趋势强劲, 波动收敛, 量能配合"
688292,浩瀚深度,UPTREND,135,100,-31.76,strong_down,0.3,29.39,0,1.7262186430575293,2025-12-22,"趋势强劲, 量能配合"
300940,南极光,UPTREND,135,100,-15.27,strong_down,0.54,32.85,0,1.7489605781503408,2025-12-22,"趋势强劲, 量能配合"
